# Stick Analyzer Results
# Test Duration: 0.11 seconds
# Raw Data
# Time,Position
0.00013,0.05472
0.00096,0.05466
0.00203,0.08594
0.00329,0.11722
0.00416,0.14014
0.00507,0.16257
0.00603,0.18018
0.00707,0.19778
0.00810,0.19772
0.00900,0.22070
0.01008,0.24319
0.01109,0.24313
0.01213,0.27734
0.01307,0.31107
0.01400,0.32324
0.01507,0.33493
0.01609,0.33499
0.01705,0.34521
0.01819,0.35495
0.01909,0.36523
0.02018,0.37552
0.02110,0.37546
0.02206,0.38184
0.02309,0.38870
0.02414,0.38864
0.02507,0.37842
0.02607,0.36868
0.02711,0.35596
0.02810,0.34372
0.02908,0.33447
0.03009,0.32474
0.03106,0.32468
0.03206,0.30566
0.03308,0.28665
0.03407,0.27490
0.03503,0.26315
0.03603,0.26321
0.03703,0.25293
0.03805,0.24313
0.03905,0.23242
0.04010,0.22171
0.04110,0.22165
0.04209,0.18896
0.04303,0.15579
0.04399,0.15573
0.04508,0.13135
0.04608,0.10696
0.04706,0.08643
0.04810,0.06540
0.05416,0.10452
0.05509,0.12744
0.05605,0.14987
0.05707,0.17285
0.05815,0.19583
0.05907,0.22607
0.06005,0.25632
0.06105,0.25638
0.06207,0.31006
0.06312,0.36374
0.06402,0.36380
0.06518,0.38672
0.06618,0.41013
0.06710,0.44043
0.06805,0.47073
0.06909,0.49316
0.07006,0.51559
0.07112,0.51566
0.07205,0.51559
0.07306,0.55908
0.07415,0.60257
0.07517,0.61621
0.07610,0.62985
0.07703,0.64795
0.07802,0.66605
0.07945,0.67969
0.08023,0.69284
0.08110,0.69290
0.08207,0.72266
0.08315,0.75290
0.08403,0.75296
0.08504,0.76904
0.08607,0.78513
0.08712,0.79639
0.08807,0.80765
0.08906,0.81982
0.09000,0.83200
0.09105,0.83206
0.09204,0.83200
0.09306,0.85205
0.09403,0.87210
0.09513,0.88525
0.09615,0.89890
0.09710,0.89896
0.09807,0.89890
0.09916,0.91260
0.10016,0.92630
0.10109,0.92624
0.10213,0.93701
0.10301,0.94730
0.10412,0.95361
0.10515,0.95944
0.10612,0.95950
0.10719,0.96680
0.10815,0.97409
0.10908,0.97852
0.11003,0.98294
0.11121,0.98288
0.11208,0.98294
0.11305,0.98926
0.11408,0.99557

# Filtered Data
# Time,Position
0.00013,0.05472
0.00203,0.08594
0.00329,0.11722
0.00416,0.14014
0.00507,0.16257
0.00603,0.18018
0.00707,0.19778
0.00900,0.22070
0.01008,0.24319
0.01213,0.27734
0.01307,0.31107
0.01400,0.32324
0.01507,0.33493
0.01609,0.33499
0.01705,0.34521
0.01819,0.35495
0.01909,0.36523
0.02018,0.37552
0.02206,0.38184
0.02309,0.38870
0.03603,0.26321
0.05416,0.10452
0.05509,0.12744
0.05605,0.14987
0.05707,0.17285
0.05815,0.19583
0.05907,0.22607
0.06005,0.25632
0.06105,0.25638
0.06207,0.31006
0.06312,0.36374
0.06402,0.36380
0.06518,0.38672
0.06618,0.41013
0.06710,0.44043
0.06805,0.47073
0.06909,0.49316
0.07006,0.51559
0.07112,0.51566
0.07306,0.55908
0.07415,0.60257
0.07517,0.61621
0.07610,0.62985
0.07703,0.64795
0.07802,0.66605
0.07945,0.67969
0.08023,0.69284
0.08110,0.69290
0.08207,0.72266
0.08315,0.75290
0.08403,0.75296
0.08504,0.76904
0.08607,0.78513
0.08712,0.79639
0.08807,0.80765
0.08906,0.81982
0.09000,0.83200
0.09105,0.83206
0.09306,0.85205
0.09403,0.87210
0.09513,0.88525
0.09615,0.89890
0.09710,0.89896
0.09916,0.91260
0.10016,0.92630
0.10213,0.93701
0.10301,0.94730
0.10412,0.95361
0.10515,0.95944
0.10612,0.95950
0.10719,0.96680
0.10815,0.97409
0.10908,0.97852
0.11003,0.98294
0.11208,0.98294
0.11305,0.98926
0.11408,0.99557
