# Stick Analyzer Results
# Test Duration: 10.24 seconds
# Raw Data
# Time,Position
0.00016,0.05032
0.02103,0.05081
0.03198,0.05179
0.05106,0.05228
0.06903,0.05325
0.08023,0.05423
0.08802,0.05472
0.09402,0.05569
0.13602,0.05618
0.15403,0.05716
0.17112,0.05765
0.18108,0.05862
0.20107,0.05960
0.22502,0.06058
0.24213,0.06107
0.26206,0.06204
0.27806,0.06253
0.28203,0.06351
0.29505,0.06448
0.30602,0.06497
0.31414,0.06595
0.32804,0.06693
0.33303,0.06741
0.34200,0.06839
0.36903,0.06937
0.38502,0.06985
0.40704,0.07083
0.41298,0.07181
0.42700,0.07230
0.44898,0.07327
0.45807,0.07425
0.47509,0.07474
0.48699,0.07571
0.50607,0.07669
0.52302,0.07718
0.53003,0.07816
0.54012,0.07864
0.54911,0.07962
0.55602,0.08011
0.56900,0.08109
0.58105,0.08206
0.59201,0.08157
0.59697,0.08304
0.60504,0.08353
0.62204,0.08450
0.63021,0.08548
0.63911,0.08597
0.64900,0.08694
0.65709,0.08743
0.67205,0.08841
0.68803,0.08939
0.69623,0.08987
0.70808,0.09085
0.71804,0.09183
0.73200,0.09232
0.73799,0.09329
0.74696,0.09427
0.75398,0.09476
0.76208,0.09573
0.77307,0.09671
0.77901,0.09720
0.79205,0.09818
0.79805,0.09915
0.80204,0.09964
0.82020,0.10062
0.84202,0.10110
0.84997,0.10208
0.85701,0.10306
0.87200,0.10355
0.87909,0.10452
0.88831,0.10501
0.90110,0.10599
0.90501,0.10696
0.91201,0.10745
0.92303,0.10843
0.93199,0.10892
0.94703,0.10989
0.95900,0.11087
0.96799,0.11136
0.97406,0.11234
0.98505,0.11331
0.99012,0.11429
0.99399,0.11478
1.00100,0.11575
1.00499,0.11624
1.01000,0.11722
1.02006,0.11771
1.02501,0.11868
1.02997,0.11966
1.04204,0.12015
1.04997,0.12112
1.06208,0.12210
1.06901,0.12259
1.08000,0.12357
1.08803,0.12405
1.09203,0.12503
1.09816,0.12601
1.10615,0.12650
1.11914,0.12747
1.13008,0.12845
1.13922,0.12894
1.15317,0.12991
1.16408,0.13089
1.17310,0.13138
1.18909,0.13235
1.19908,0.13284
1.20937,0.13382
1.22006,0.13431
1.22605,0.13528
1.23712,0.13626
1.24914,0.13675
1.25912,0.13773
1.26506,0.13821
1.27117,0.13919
1.27607,0.14017
1.28511,0.14066
1.29005,0.14163
1.30408,0.14212
1.31221,0.14310
1.32709,0.14407
1.33299,0.14456
1.33906,0.14554
1.34813,0.14651
1.35606,0.14700
1.36220,0.14798
1.36715,0.14847
1.37110,0.14944
1.38031,0.15042
1.38403,0.15091
1.39108,0.15189
1.40216,0.15237
1.40806,0.15335
1.41619,0.15433
1.42814,0.15530
1.43608,0.15628
1.44436,0.15677
1.44898,0.15775
1.45635,0.15823
1.46629,0.15921
1.47415,0.15970
1.48512,0.16068
1.49107,0.16116
1.49507,0.16214
1.51009,0.16312
1.52295,0.16360
1.53908,0.16458
1.55003,0.16507
1.56211,0.16605
1.57402,0.16702
1.58896,0.16751
1.59609,0.16849
1.60453,0.16946
1.60900,0.17044
1.61619,0.17093
1.62103,0.17191
1.62813,0.17288
1.63212,0.17386
1.63807,0.17435
1.64507,0.17532
1.65405,0.17630
1.66002,0.17728
1.67006,0.17776
1.67708,0.17874
1.69817,0.17923
1.70542,0.18021
1.72003,0.18069
1.73801,0.18167
1.75023,0.18265
1.75605,0.18362
1.76007,0.18411
1.76822,0.18509
1.77295,0.18607
1.77698,0.18704
1.78208,0.18753
1.78809,0.18851
1.80008,0.18900
1.80703,0.18997
1.81416,0.19095
1.82410,0.19144
1.84109,0.19241
1.84508,0.19290
1.85617,0.19388
1.86199,0.19485
1.87010,0.19534
1.87613,0.19632
1.88508,0.19681
1.90006,0.19778
1.91222,0.19876
1.92309,0.19925
1.93112,0.20023
