# Stick Analyzer Results
# Test Duration: 11.05 seconds
# Raw Data
# Time,Position
0.00028,0.05081
0.01403,0.05130
0.02403,0.05228
0.02798,0.05276
0.03904,0.05374
0.05001,0.05472
0.06106,0.05521
0.07802,0.05569
0.10198,0.05667
0.11098,0.05716
0.12903,0.05814
0.13403,0.05765
0.14295,0.05862
0.15296,0.05960
0.15803,0.06009
0.16501,0.06107
0.17500,0.06155
0.19700,0.06253
0.20505,0.06302
0.22106,0.06400
0.23498,0.06448
0.25615,0.06546
0.26902,0.06644
0.28402,0.06693
0.30000,0.06790
0.31001,0.06839
0.32795,0.06937
0.34297,0.07034
0.35194,0.07083
0.36505,0.07181
0.38304,0.07278
0.40305,0.07327
0.42308,0.07425
0.46295,0.07523
0.46998,0.07571
0.48408,0.07669
0.49404,0.07718
0.50704,0.07816
0.52394,0.07913
0.54008,0.07962
0.57307,0.08060
0.58307,0.08157
0.59312,0.08206
0.61108,0.08304
0.62402,0.08353
0.63103,0.08450
0.64195,0.08548
0.64798,0.08597
0.65896,0.08694
0.66600,0.08792
0.69614,0.08841
0.70406,0.08939
0.71396,0.08987
0.71807,0.09085
0.72501,0.09183
0.72908,0.09232
0.73602,0.09329
0.74099,0.09427
0.74601,0.09525
0.75428,0.09622
0.75893,0.09671
0.76701,0.09769
0.77499,0.09818
0.79003,0.09915
0.81009,0.10013
0.84300,0.10062
0.86404,0.10159
0.87498,0.10257
0.88103,0.10306
0.90405,0.10403
0.90699,0.10452
0.91904,0.10550
0.94004,0.10599
0.95503,0.10696
0.97096,0.10794
0.99503,0.10843
1.00405,0.10941
1.01594,0.11038
1.02903,0.11087
1.03696,0.11185
1.04496,0.11282
1.05097,0.11331
1.06303,0.11429
1.06998,0.11526
1.08002,0.11575
1.08398,0.11624
1.08898,0.11673
1.09699,0.11771
1.10400,0.11868
1.11493,0.11917
1.11897,0.12015
1.12496,0.12112
1.13501,0.12161
1.14499,0.12259
1.15299,0.12308
1.16293,0.12405
1.17202,0.12503
1.17994,0.12552
1.19420,0.12650
1.20810,0.12747
1.22294,0.12796
1.25393,0.12894
1.27050,0.12943
1.28207,0.13040
1.29212,0.13138
1.29906,0.13187
1.30714,0.13284
1.31308,0.13333
1.34208,0.13431
1.35597,0.13528
1.36908,0.13577
1.39518,0.13675
1.41109,0.13773
1.42208,0.13821
1.43202,0.13919
1.46002,0.13968
1.48205,0.14066
1.50127,0.14163
1.52712,0.14212
1.53209,0.14310
1.53927,0.14407
1.55015,0.14456
1.56215,0.14554
1.56996,0.14603
1.58110,0.14700
1.59809,0.14798
1.61010,0.14847
1.62504,0.14944
1.64214,0.14993
1.65108,0.15091
1.66307,0.15140
1.67116,0.15237
1.68909,0.15286
1.69904,0.15384
1.73711,0.15482
1.76108,0.15579
1.78104,0.15530
1.79122,0.15628
1.79804,0.15726
1.80521,0.15775
1.82011,0.15872
1.82713,0.15970
1.83646,0.16019
1.84903,0.16116
1.86313,0.16214
1.87616,0.16263
1.90911,0.16360
1.93313,0.16409
1.94628,0.16507
1.95211,0.16556
1.95897,0.16653
1.97009,0.16751
1.97396,0.16800
1.98005,0.16898
1.98403,0.16995
1.99000,0.17044
1.99913,0.17142
2.01308,0.17239
2.02516,0.17288
2.04802,0.17386
2.05401,0.17435
2.06915,0.17532
2.07312,0.17630
2.08106,0.17728
2.08608,0.17776
2.09212,0.17874
2.09709,0.17923
2.10214,0.18021
2.10711,0.18118
2.11399,0.18167
2.12714,0.18265
2.13546,0.18314
2.14507,0.18411
2.15114,0.18460
2.16709,0.18509
2.16798,0.18558
2.18527,0.18655
2.19503,0.18704
2.21002,0.18802
2.22457,0.18900
2.23511,0.18948
2.24621,0.19046
2.26702,0.19095
2.29615,0.19193
2.30518,0.19241
2.31013,0.19339
2.32315,0.19437
2.32704,0.19485
2.33499,0.19583
2.34506,0.19632
2.35414,0.19730
2.36003,0.19827
2.37102,0.19925
2.38515,0.19974
2.39407,0.20071
2.40203,0.20169
2.41217,0.20218
2.41592,0.20316
2.42402,0.20413
2.43005,0.20462
2.43597,0.20560
2.44906,0.20609
2.45701,0.20706
2.48204,0.20804
2.48999,0.20853
2.49803,0.20950
2.50704,0.20999
2.51900,0.21097
2.53009,0.21146
2.53800,0.21243
2.54505,0.21341
2.55306,0.21390
2.56008,0.21487
2.56511,0.21585
2.57003,0.21634
2.57640,0.21732
2.58639,0.21780
2.59315,0.21878
2.60309,0.21976
2.61412,0.22025
2.62501,0.22122
2.62896,0.22171
2.63813,0.22269
2.64616,0.22366
2.65009,0.22415
2.65599,0.22513
2.66703,0.22610
2.69605,0.22708
2.74708,0.22757
2.76811,0.22855
2.78201,0.22903
2.79516,0.23001
2.81821,0.23099
2.83509,0.23148
2.84720,0.23245
2.85602,0.23343
2.86309,0.23392
2.86994,0.23489
2.87298,0.23538
2.87808,0.23636
2.88303,0.23734
2.88806,0.23782
2.89209,0.23880
2.89593,0.23978
2.90004,0.24026
2.90598,0.24124
2.91002,0.24173
2.91894,0.24271
2.92404,0.24319
2.93500,0.24417
2.93803,0.24515
2.94312,0.24564
2.96111,0.24661
2.96791,0.24759
2.97306,0.24808
2.98402,0.24905
2.99301,0.24954
3.00593,0.25052
3.01594,0.25150
3.02108,0.25198
3.03806,0.25296
3.09794,0.25345
3.10694,0.25443
3.12396,0.25491
3.12897,0.25589
3.15607,0.25638
3.17302,0.25735
3.18209,0.25833
3.19095,0.25931
3.19994,0.26028
3.20391,0.26077
3.20792,0.26175
3.21305,0.26273
3.21711,0.26321
3.22496,0.26419
3.23009,0.26517
3.23602,0.26566
3.24205,0.26663
3.24901,0.26761
3.25706,0.26810
3.26610,0.26907
3.27405,0.26956
3.29109,0.27054
3.30310,0.27103
3.31409,0.27200
3.31709,0.27298
3.32611,0.27396
3.33443,0.27444
3.33801,0.27542
3.34805,0.27591
3.35500,0.27689
3.36008,0.27786
3.36507,0.27835
3.37211,0.27933
3.37607,0.28030
3.38199,0.28079
3.38600,0.28177
3.39306,0.28275
3.42701,0.28323
3.43904,0.28421
3.46106,0.28519
3.46596,0.28568
3.47395,0.28665
3.47798,0.28763
3.48306,0.28860
3.48601,0.28958
3.48994,0.29007
3.49505,0.29105
3.49993,0.29153
3.50303,0.29251
3.50701,0.29349
3.51700,0.29398
3.53597,0.29495
3.55309,0.29593
