# Stick Analyzer Results
# Test Duration: 14.71 seconds
# Raw Data
# Time,Position
0.00013,0.05029
0.00395,0.05078
0.01000,0.05127
0.01402,0.05176
0.01697,0.05225
0.01896,0.05273
0.02199,0.05322
0.03298,0.05371
0.03905,0.05420
0.04396,0.05469
0.04901,0.05518
0.05396,0.05566
0.05896,0.05615
0.06897,0.05664
0.07901,0.05713
0.08903,0.05762
0.09202,0.05811
0.09697,0.05859
0.10402,0.05908
0.10701,0.05957
0.11595,0.06006
0.12998,0.06055
0.13101,0.06058
0.13205,0.06104
0.13499,0.06152
0.13601,0.06104
0.14196,0.06152
0.14899,0.06201
0.15001,0.06250
0.15997,0.06299
0.16995,0.06348
0.17898,0.06396
0.18198,0.06445
0.19200,0.06494
0.20297,0.06543
0.20898,0.06592
0.21400,0.06641
0.21898,0.06689
0.21997,0.06738
0.22196,0.06689
0.22501,0.06738
0.23395,0.06787
0.25595,0.06836
0.25996,0.06885
0.26901,0.06934
0.28195,0.06982
0.28900,0.07031
0.29195,0.07080
0.30899,0.07129
0.31197,0.07178
0.31697,0.07227
0.32004,0.07275
0.33195,0.07324
0.34097,0.07373
0.34699,0.07422
0.34995,0.07471
0.35594,0.07520
0.35897,0.07568
0.36997,0.07617
0.37096,0.07663
0.37196,0.07666
0.37394,0.07715
0.37901,0.07764
0.38296,0.07812
0.38400,0.07764
0.39023,0.07812
0.39397,0.07861
0.39994,0.07910
0.40498,0.07959
0.41602,0.08008
0.41996,0.08057
0.42722,0.08105
0.43996,0.08154
0.45195,0.08203
0.45498,0.08252
0.46995,0.08301
0.47703,0.08350
0.47998,0.08398
0.48595,0.08447
0.49398,0.08496
0.49697,0.08447
0.49898,0.08496
0.50600,0.08545
0.51297,0.08496
0.51601,0.08545
0.52106,0.08594
0.52699,0.08545
0.53196,0.08594
0.53998,0.08643
0.54597,0.08691
0.55996,0.08740
0.56195,0.08789
0.56896,0.08838
0.57696,0.08887
0.57996,0.08936
0.58999,0.08887
0.59198,0.08936
0.59994,0.08984
0.60495,0.09033
0.60995,0.09082
0.64597,0.09131
0.65297,0.09180
0.67201,0.09229
0.68009,0.09277
0.68904,0.09326
0.69594,0.09375
0.70097,0.09424
0.71097,0.09473
0.71894,0.09521
0.72098,0.09570
0.72602,0.09619
0.72696,0.09668
0.73899,0.09717
0.74094,0.09766
0.74496,0.09814
0.75101,0.09863
0.75997,0.09912
0.76295,0.09961
0.77994,0.10010
0.78395,0.10059
