# Stick Analyzer Results
# Test Duration: 2.80 seconds
# Version: 2.0.3.0
# Nonlinearity: 11.6%
# Raw Data
# Time,Position
0.00011,0.05099
0.04627,0.05884
0.09376,0.06668
0.11375,0.07452
0.11502,0.06668
0.11759,0.07452
0.12627,0.08237
0.14251,0.09021
0.16625,0.09805
0.17875,0.10590
0.19375,0.11374
0.20752,0.12158
0.21878,0.12943
0.23251,0.13727
0.23647,0.14511
0.23751,0.13727
0.23876,0.14511
0.25251,0.15295
0.27500,0.16080
0.29020,0.16864
0.29751,0.17648
0.31125,0.18433
0.32376,0.19217
0.34501,0.20001
0.38003,0.21570
0.40628,0.22354
0.42379,0.23138
0.42626,0.23923
0.43375,0.24707
0.45000,0.25491
0.45875,0.26276
0.46133,0.25491
0.47877,0.26276
0.49376,0.27060
0.50625,0.27844
0.52626,0.28629
0.54250,0.29413
0.55750,0.30197
0.59771,0.30981
0.59877,0.30197
0.60001,0.30981
0.61750,0.31766
0.61877,0.30981
0.62126,0.31766
0.63250,0.32550
0.64874,0.33334
0.67251,0.34119
0.68750,0.34903
0.70626,0.35687
0.72426,0.36472
0.75624,0.37256
0.77753,0.38040
0.79500,0.38824
0.80249,0.39609
0.82376,0.40393
0.83627,0.41177
0.85000,0.41962
0.85251,0.41177
0.85375,0.41962
0.90125,0.42746
0.92771,0.43530
0.92876,0.42746
0.93020,0.43530
0.97753,0.44315
0.98628,0.45099
1.01499,0.45883
1.03502,0.46667
1.03625,0.45883
1.03750,0.46667
1.05874,0.47452
1.05999,0.46667
1.06124,0.47452
1.08251,0.48236
1.10501,0.49020
1.13124,0.50589
1.14501,0.51373
1.15876,0.52158
1.16000,0.51373
1.16144,0.52158
1.17624,0.52942
1.20374,0.53726
1.21876,0.54510
1.23375,0.55295
1.24624,0.56079
1.27375,0.56863
1.29373,0.57648
1.30249,0.56863
1.30394,0.57648
1.32873,0.58432
1.35124,0.59216
1.36374,0.60001
1.36518,0.59216
1.36874,0.60001
1.40248,0.60785
1.40499,0.60001
1.40625,0.60785
1.42378,0.61569
1.44999,0.62354
1.48132,0.63138
1.50500,0.63922
1.50749,0.63138
1.50874,0.63922
1.53999,0.64706
1.56393,0.65491
1.58518,0.66275
1.64643,0.67059
1.68000,0.67844
1.70501,0.69412
1.72499,0.70197
1.75624,0.70981
1.78514,0.71765
1.80125,0.72549
1.82123,0.73334
1.82373,0.72549
1.82499,0.73334
1.87624,0.74118
1.90623,0.74902
1.90748,0.74118
1.90876,0.74902
1.95248,0.75687
1.98998,0.76471
2.02650,0.77255
2.06875,0.78040
2.10998,0.78824
2.11125,0.78040
2.11249,0.78824
2.14122,0.79608
2.14268,0.78824
2.14394,0.79608
2.21000,0.80392
2.23022,0.79608
2.23142,0.80392
2.25250,0.81177
2.27502,0.81961
2.29249,0.82745
2.31126,0.83530
2.32874,0.84314
2.33001,0.83530
2.33125,0.84314
2.36000,0.85098
2.40252,0.85883
2.42622,0.86667
2.44874,0.87451
2.46249,0.88235
2.48622,0.89020
2.48748,0.88235
2.48876,0.89020
2.51248,0.89804
2.51373,0.89020
2.51500,0.89804
2.54128,0.90588
2.56121,0.91373
2.58131,0.92157
2.62281,0.92941
2.62623,0.93726
2.64623,0.94510
2.66373,0.95294
2.68768,0.96078
2.71747,0.96863
2.75623,0.97647
2.77624,0.98431
2.79749,0.99216
