# Stick Analyzer Results
# Test Duration: 4.72 seconds
# Version: 2.0.3.0
# Nonlinearity: 9.2%
# Raw Data
# Time,Position
0.00022,0.05099
0.08356,0.05884
0.19235,0.06668
0.25857,0.07452
0.26106,0.06668
0.26732,0.07452
0.29231,0.08237
0.29357,0.07452
0.29605,0.08237
0.34235,0.09021
0.38732,0.09805
0.38981,0.09021
0.39106,0.09805
0.41609,0.10590
0.44500,0.11374
0.48857,0.12158
0.53981,0.12943
0.55609,0.13727
0.57999,0.14511
0.58106,0.13727
0.58357,0.14511
0.74234,0.15295
0.79232,0.16080
0.88981,0.16864
0.89105,0.16080
0.89232,0.16864
0.93230,0.17648
0.98730,0.18433
1.02480,0.19217
1.02607,0.18433
1.02856,0.19217
1.09378,0.20001
1.09633,0.19217
1.09741,0.20001
1.14106,0.20786
1.15607,0.21570
1.17731,0.22354
1.20357,0.23138
1.20481,0.22354
1.20608,0.23138
1.25856,0.23923
1.25987,0.23138
1.26731,0.23923
1.29634,0.24707
1.30249,0.23923
1.30355,0.24707
1.31981,0.25491
1.33730,0.26276
1.33858,0.25491
1.34230,0.26276
1.34356,0.25491
1.34480,0.26276
1.34604,0.25491
1.34731,0.26276
1.35230,0.25491
1.35354,0.26276
1.37749,0.27060
1.39105,0.27844
1.41732,0.28629
1.44110,0.29413
1.46732,0.30197
1.50730,0.30981
1.50981,0.30197
1.51105,0.30981
1.51357,0.30197
1.51480,0.30981
1.54363,0.31766
1.56252,0.32550
1.57736,0.33334
1.59731,0.34119
1.60855,0.34903
1.63729,0.35687
1.68480,0.36472
1.73980,0.37256
1.76229,0.38040
1.78251,0.38824
1.81731,0.40393
1.81863,0.39609
1.82860,0.40393
1.83481,0.41177
1.84499,0.41962
1.87105,0.42746
1.89111,0.43530
1.91251,0.44315
1.93731,0.45099
1.96229,0.45883
1.98229,0.46667
1.98354,0.45883
1.98604,0.46667
2.02605,0.47452
2.02855,0.46667
2.03105,0.47452
2.06604,0.48236
2.09146,0.49020
2.11479,0.49805
2.13980,0.50589
2.14105,0.49805
2.14373,0.50589
2.19232,0.51373
2.21883,0.52158
2.25230,0.52942
2.25356,0.52158
2.25500,0.52942
2.30230,0.53726
2.30357,0.52942
2.30729,0.53726
2.34729,0.54510
2.37355,0.55295
2.38499,0.56079
2.38604,0.55295
2.38729,0.56079
2.40873,0.56863
2.40980,0.56079
2.41229,0.56863
2.45105,0.57648
2.45480,0.56863
2.45729,0.57648
2.49854,0.58432
2.50104,0.57648
2.50230,0.58432
2.52234,0.59216
2.54107,0.58432
2.54232,0.59216
2.56483,0.60001
2.57979,0.60785
2.58104,0.60001
2.58356,0.60785
2.58479,0.60001
2.58623,0.60785
2.60229,0.61569
2.63112,0.62354
2.69354,0.63138
2.77480,0.63922
2.77740,0.63138
2.78111,0.63922
2.82606,0.64706
2.88731,0.65491
2.88854,0.64706
2.88979,0.65491
2.89103,0.64706
2.89354,0.65491
2.96882,0.66275
3.07604,0.67059
3.10506,0.67844
3.12353,0.68628
3.14479,0.69412
3.19354,0.70197
3.19477,0.69412
3.19603,0.70197
3.31483,0.70981
3.34122,0.71765
3.36872,0.72549
3.40107,0.73334
3.49353,0.74118
3.49603,0.73334
3.49748,0.74118
3.55228,0.74902
3.55369,0.74118
3.55480,0.74902
3.61978,0.75687
3.62104,0.74902
3.62229,0.75687
3.62353,0.74902
3.62496,0.75687
3.66730,0.76471
3.68978,0.77255
3.71729,0.78040
3.71854,0.77255
3.71978,0.78040
3.75603,0.78824
3.78227,0.79608
3.82228,0.80392
3.88478,0.81177
3.88604,0.80392
3.88728,0.81177
3.88996,0.80392
3.89103,0.81177
3.92728,0.81961
3.92853,0.81177
3.92979,0.81961
3.96608,0.82745
4.01728,0.83530
4.04229,0.84314
4.05852,0.85098
4.07746,0.85883
4.11728,0.86667
4.15478,0.87451
4.15603,0.86667
4.15852,0.87451
4.19650,0.88235
4.19727,0.87451
4.20497,0.88235
4.20733,0.87451
4.21103,0.88235
4.21227,0.87451
4.21728,0.88235
4.29977,0.89020
4.30121,0.88235
4.30228,0.89020
4.34852,0.89804
4.39230,0.90588
4.41729,0.91373
4.43730,0.92157
4.44007,0.91373
4.44103,0.92157
4.47630,0.92941
4.49727,0.93726
4.49977,0.92941
4.50227,0.93726
4.54122,0.94510
4.59107,0.95294
4.60497,0.96078
4.65727,0.96863
4.69228,0.97647
4.70729,0.98431
4.72226,0.99216
