# Stick Analyzer Results
# Test Duration: 5.47 seconds
# Version: 2.0.3.0
# Nonlinearity: 8.0%
# Raw Data
# Time,Position
0.00009,0.05099
0.05113,0.05884
0.07122,0.06668
0.09239,0.07452
0.11490,0.08237
0.14114,0.09021
0.14238,0.08237
0.14364,0.09021
0.23740,0.09805
0.23883,0.09021
0.23989,0.09805
0.24615,0.09021
0.25112,0.09805
0.27990,0.10590
0.31744,0.11374
0.34738,0.12158
0.36990,0.12943
0.38133,0.13727
0.39865,0.14511
0.44618,0.15295
0.48238,0.16080
0.55612,0.16864
0.55739,0.16080
0.55863,0.16864
0.56381,0.16080
0.56507,0.16864
0.58889,0.17648
0.62113,0.18433
0.62238,0.17648
0.62487,0.18433
0.64864,0.19217
0.65113,0.18433
0.65259,0.19217
0.73240,0.20001
0.73489,0.19217
0.73615,0.20001
0.73888,0.19217
0.74746,0.20001
0.80383,0.20786
0.82487,0.21570
0.82613,0.20786
0.83112,0.21570
0.86987,0.22354
0.93240,0.23138
0.93381,0.22354
0.93488,0.23138
1.02486,0.23923
1.02612,0.23138
1.03488,0.23923
1.06615,0.24707
1.07112,0.23923
1.07238,0.24707
1.14863,0.25491
1.18238,0.26276
1.18362,0.25491
1.18488,0.26276
1.18612,0.25491
1.18989,0.26276
1.19237,0.25491
1.19490,0.26276
1.21237,0.25491
1.21363,0.26276
1.24741,0.25491
1.25635,0.26276
1.33630,0.27060
1.39237,0.27844
1.45738,0.28629
1.49863,0.29413
1.52112,0.30197
1.61236,0.30981
1.61362,0.30197
1.62006,0.30981
1.62111,0.30197
1.62237,0.30981
1.62362,0.30197
1.62487,0.30981
1.62612,0.30197
1.62738,0.30981
1.62861,0.30197
1.62987,0.30981
1.68738,0.31766
1.68862,0.30981
1.68987,0.31766
1.72364,0.32550
1.77242,0.33334
1.82487,0.34119
1.87363,0.34903
1.91990,0.35687
1.95861,0.36472
1.95986,0.35687
1.96112,0.36472
1.96236,0.35687
1.96487,0.36472
2.03988,0.37256
2.07486,0.38040
2.11112,0.38824
2.11237,0.38040
2.11494,0.38824
2.11861,0.38040
2.11988,0.38824
2.16736,0.39609
2.16861,0.38824
2.17112,0.39609
2.22236,0.40393
2.22862,0.39609
2.22986,0.40393
2.24611,0.41177
2.26861,0.41962
2.34365,0.42746
2.35611,0.43530
2.35985,0.42746
2.36111,0.43530
2.39111,0.44315
2.39237,0.43530
2.39738,0.44315
2.45025,0.45099
2.51362,0.45883
2.57611,0.46667
2.57738,0.45883
2.57880,0.46667
2.58005,0.45883
2.58254,0.46667
2.58485,0.45883
2.58630,0.46667
2.62735,0.47452
2.66360,0.48236
2.66488,0.47452
2.66612,0.48236
2.70112,0.49020
2.70363,0.48236
2.70506,0.49020
2.75110,0.49805
2.79866,0.50589
2.84863,0.51373
2.85111,0.50589
2.85254,0.51373
2.86111,0.50589
2.86236,0.51373
2.86360,0.50589
2.86485,0.51373
2.90860,0.52158
2.95361,0.52942
2.95611,0.52158
2.96234,0.52942
3.04753,0.53726
3.04861,0.52942
3.04986,0.53726
3.05109,0.52942
3.05246,0.53726
3.09235,0.54510
3.09360,0.53726
3.10237,0.54510
3.14862,0.55295
3.17110,0.56079
3.20860,0.56863
3.27131,0.57648
3.32109,0.58432
3.35110,0.59216
3.35487,0.58432
3.35610,0.59216
3.39235,0.60001
3.39487,0.59216
3.39611,0.60001
3.39735,0.59216
3.39862,0.60001
3.39986,0.59216
3.40113,0.60001
3.40364,0.59216
3.40493,0.60001
3.47110,0.60785
3.50735,0.61569
3.57362,0.62354
3.64861,0.63138
3.67115,0.62354
3.67234,0.63138
3.72252,0.63922
3.72360,0.63138
3.72484,0.63922
3.77611,0.64706
3.77737,0.63922
3.77879,0.64706
3.81610,0.65491
3.85609,0.66275
3.94863,0.67059
4.00484,0.67844
4.03234,0.68628
4.05484,0.69412
4.05610,0.68628
4.05735,0.69412
4.09859,0.70197
4.14610,0.70981
4.14860,0.70197
4.15108,0.70981
4.16360,0.70197
4.16485,0.70981
4.19984,0.71765
4.22233,0.72549
4.22360,0.71765
4.22484,0.72549
4.27238,0.73334
4.32264,0.74118
4.33738,0.74902
4.36484,0.75687
4.36754,0.74902
4.36894,0.75687
4.39608,0.76471
4.45005,0.77255
4.48994,0.78040
4.52233,0.78824
4.54109,0.79608
4.58235,0.80392
4.58502,0.79608
4.58619,0.80392
4.58858,0.79608
4.58984,0.80392
4.64608,0.81177
4.64738,0.80392
4.64859,0.81177
4.65108,0.80392
4.65253,0.81177
4.69858,0.81961
4.73985,0.82745
4.76858,0.83530
4.79358,0.84314
4.82109,0.85098
4.86985,0.85883
4.87237,0.85098
4.87364,0.85883
4.94613,0.86667
4.94733,0.87451
4.96113,0.88235
4.99107,0.89020
4.99235,0.88235
4.99610,0.89020
4.99734,0.88235
4.99858,0.89020
5.06877,0.89804
5.12113,0.90588
5.13984,0.91373
5.20860,0.92157
5.24609,0.92941
5.27360,0.93726
5.30609,0.94510
5.32735,0.95294
5.34259,0.96078
5.38483,0.96863
5.38609,0.96078
5.39107,0.96863
5.42359,0.97647
5.44487,0.98431
5.47359,0.99216
