# Stick Analyzer Results
# Test Duration: 4.79 seconds
# Version: 2.0.3.0
# Nonlinearity: 8.9%
# Raw Data
# Time,Position
0.00023,0.05099
0.04126,0.05884
0.04251,0.05099
0.04501,0.05884
0.06374,0.06668
0.06500,0.05884
0.06873,0.06668
0.08252,0.07452
0.08380,0.06668
0.08502,0.07452
0.09251,0.08237
0.10251,0.09021
0.13873,0.10590
0.15650,0.11374
0.18751,0.12158
0.18874,0.11374
0.19265,0.12158
0.19406,0.11374
0.19499,0.12158
0.22624,0.12943
0.23625,0.13727
0.25752,0.14511
0.28000,0.15295
0.28142,0.14511
0.28251,0.15295
0.31000,0.16080
0.31500,0.15295
0.31625,0.16080
0.31765,0.15295
0.31874,0.16080
0.36001,0.16864
0.38750,0.17648
0.42500,0.18433
0.44500,0.19217
0.47499,0.20001
0.51377,0.20786
0.53624,0.21570
0.55999,0.22354
0.59016,0.23138
0.63749,0.23923
0.63874,0.23138
0.64123,0.23923
0.64248,0.23138
0.64375,0.23923
0.66875,0.24707
0.67000,0.23923
0.67124,0.24707
0.67751,0.23923
0.67999,0.24707
0.69624,0.25491
0.71249,0.26276
0.71500,0.25491
0.71876,0.26276
0.72000,0.25491
0.72499,0.26276
0.72625,0.25491
0.72891,0.26276
0.73000,0.25491
0.73499,0.26276
0.73625,0.25491
0.74123,0.26276
0.74499,0.25491
0.74625,0.26276
0.80250,0.27060
0.82751,0.27844
0.82876,0.27060
0.83499,0.27844
0.89004,0.28629
0.94498,0.29413
0.94626,0.28629
0.95016,0.29413
0.95142,0.28629
0.96128,0.29413
1.00249,0.30197
1.06749,0.30981
1.06889,0.30197
1.08249,0.30981
1.08374,0.30197
1.08626,0.30981
1.13373,0.31766
1.13499,0.30981
1.13873,0.31766
1.16500,0.32550
1.19623,0.33334
1.23874,0.34119
1.26503,0.34903
1.34122,0.35687
1.38250,0.36472
1.45372,0.37256
1.48623,0.38040
1.51872,0.38824
1.55890,0.39609
1.56002,0.38824
1.56125,0.39609
1.61124,0.40393
1.63873,0.41177
1.66390,0.41962
1.69124,0.42746
1.72932,0.43530
1.75873,0.44315
1.75997,0.43530
1.76123,0.44315
1.79622,0.45099
1.83501,0.45883
1.87264,0.46667
1.91123,0.47452
1.91251,0.46667
1.91627,0.47452
1.91998,0.46667
1.92124,0.47452
1.92265,0.46667
1.92390,0.47452
1.98873,0.48236
2.01382,0.49020
2.04247,0.49805
2.04373,0.49020
2.04497,0.49805
2.09875,0.50589
2.10123,0.49805
2.10249,0.50589
2.15872,0.51373
2.20890,0.52158
2.21014,0.51373
2.21122,0.52158
2.24497,0.52942
2.29623,0.53726
2.33124,0.54510
2.33248,0.53726
2.33747,0.54510
2.38873,0.55295
2.41746,0.56079
2.47122,0.56863
2.47253,0.56079
2.47376,0.56863
2.54871,0.57648
2.58623,0.58432
2.59013,0.57648
2.59121,0.58432
2.61621,0.59216
2.66622,0.60001
2.74001,0.60785
2.76245,0.61569
2.79370,0.62354
2.83621,0.63138
2.88138,0.63922
2.88513,0.63138
2.88621,0.63922
2.88996,0.63138
2.89120,0.63922
2.92763,0.64706
2.92996,0.63922
2.93245,0.64706
2.98750,0.65491
2.98875,0.64706
2.99877,0.65491
3.03139,0.66275
3.11763,0.67059
3.11996,0.66275
3.12121,0.67059
3.16745,0.67844
3.18747,0.68628
3.20997,0.69412
3.24995,0.70197
3.32245,0.70981
3.32371,0.70197
3.32495,0.70981
3.39371,0.71765
3.46374,0.72549
3.50622,0.73334
3.50749,0.72549
3.50871,0.73334
3.51245,0.72549
3.51370,0.73334
3.57494,0.74118
3.61246,0.74902
3.63369,0.75687
3.66996,0.76471
3.73995,0.77255
3.74139,0.76471
3.74245,0.77255
3.74724,0.76471
3.74753,0.77255
3.80124,0.78040
3.83889,0.78824
3.84024,0.78040
3.84625,0.78824
3.85763,0.79608
3.85995,0.78824
3.86139,0.79608
3.92246,0.80392
3.92495,0.79608
3.92619,0.80392
3.95997,0.81177
3.98745,0.81961
4.01389,0.82745
4.01503,0.81961
4.01995,0.82745
4.05119,0.83530
4.10493,0.84314
4.15494,0.85098
4.15639,0.84314
4.15870,0.85098
4.21120,0.85883
4.21247,0.85098
4.21377,0.85883
4.23623,0.85098
4.23871,0.85883
4.27870,0.86667
4.30493,0.87451
4.32120,0.88235
4.36494,0.89020
4.36874,0.88235
4.36995,0.89020
4.40993,0.89804
4.45619,0.90588
4.45743,0.89804
4.45869,0.90588
4.49618,0.91373
4.52619,0.92157
4.58369,0.92941
4.60868,0.93726
4.60994,0.92941
4.61372,0.93726
4.63995,0.94510
4.66244,0.95294
4.68511,0.96078
4.72994,0.96863
4.75744,0.97647
4.75869,0.96863
4.76120,0.97647
4.77618,0.98431
4.79243,0.99216
