# Stick Analyzer Results
# Test Duration: 3.91 seconds
# Version: 2.0.3.0
# Nonlinearity: 10.0%
# Raw Data
# Time,Position
0.00013,0.05099
0.14374,0.05884
0.14500,0.05099
0.14641,0.05884
0.30379,0.06668
0.36249,0.07452
0.40748,0.08237
0.45499,0.09021
0.48248,0.09805
0.52498,0.10590
0.52624,0.09805
0.52749,0.10590
0.55627,0.11374
0.59628,0.12158
0.65623,0.12943
0.68123,0.13727
0.74150,0.14511
0.76498,0.15295
0.77999,0.16080
0.79499,0.16864
0.80516,0.17648
0.83002,0.18433
0.84265,0.19217
0.86265,0.20001
0.87251,0.20786
0.90499,0.21570
0.91128,0.22354
0.94498,0.23138
0.98502,0.23923
1.05747,0.24707
1.07373,0.25491
1.09497,0.26276
1.12748,0.27060
1.13997,0.27844
1.15747,0.28629
1.19747,0.29413
1.19874,0.28629
1.20016,0.29413
1.20122,0.28629
1.20247,0.29413
1.20373,0.28629
1.20498,0.29413
1.23500,0.30197
1.25748,0.30981
1.26249,0.30197
1.26498,0.30981
1.30628,0.31766
1.33125,0.32550
1.37748,0.33334
1.40500,0.34119
1.45626,0.34903
1.45669,0.34119
1.45997,0.34903
1.46123,0.34119
1.46247,0.34903
1.48622,0.35687
1.50747,0.36472
1.53247,0.37256
1.55747,0.38040
1.57122,0.38824
1.58764,0.39609
1.63122,0.40393
1.68134,0.41177
1.69750,0.41962
1.72248,0.42746
1.74622,0.43530
1.75248,0.44315
1.77251,0.45099
1.79139,0.45883
1.82496,0.46667
1.86370,0.47452
1.92121,0.48236
1.94248,0.49020
1.94372,0.48236
1.94515,0.49020
1.96746,0.49805
1.97996,0.50589
1.99264,0.51373
2.00623,0.52158
2.03126,0.52942
2.05621,0.53726
2.10121,0.54510
2.10264,0.53726
2.10372,0.54510
2.10496,0.53726
2.10622,0.54510
2.15396,0.55295
2.17496,0.56079
2.21497,0.56863
2.22746,0.57648
2.23746,0.58432
2.25626,0.59216
2.27246,0.60001
2.30120,0.60785
2.31996,0.61569
2.35641,0.62354
2.38121,0.63138
2.39750,0.63922
2.40496,0.64706
2.42747,0.65491
2.47122,0.66275
2.49870,0.67059
2.54870,0.67844
2.54996,0.67059
2.55139,0.67844
2.56245,0.68628
2.59870,0.69412
2.60121,0.68628
2.60245,0.69412
2.60371,0.68628
2.60639,0.69412
2.64247,0.70197
2.71499,0.70981
2.75620,0.71765
2.78245,0.72549
2.81370,0.73334
2.81496,0.72549
2.81621,0.73334
2.88119,0.74118
2.90244,0.74902
2.90370,0.74118
2.90495,0.74902
2.93369,0.75687
2.93496,0.74902
2.93621,0.75687
2.96245,0.76471
2.98621,0.77255
3.02370,0.78040
3.02620,0.77255
3.02764,0.78040
3.05869,0.78824
3.12631,0.79608
3.19623,0.80392
3.25495,0.81177
3.29263,0.81961
3.33270,0.82745
3.34748,0.83530
3.36513,0.84314
3.37995,0.85098
3.38369,0.84314
3.38494,0.85098
3.40494,0.85883
3.42369,0.86667
3.44244,0.87451
3.48138,0.88235
3.49998,0.89020
3.52249,0.89804
3.56744,0.90588
3.57119,0.89804
3.57494,0.90588
3.61369,0.91373
3.70119,0.92157
3.72994,0.92941
3.74369,0.93726
3.76744,0.94510
3.80245,0.95294
3.82993,0.96078
3.84763,0.96863
3.86369,0.97647
3.88050,0.98431
3.90623,0.99216
